"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"1500000US240317001011","Block Group 1; Census Tract 7001.01; Montgomery County; Maryland","1031","196","642","150","580","149","62","39","44","32","18","19","0","14","0","14","0","14","2","3","0","14","2","3","0","14","0","14","0","14","0","14","0","14","0","14","48","42","2","7","337","113",
"1500000US240317001012","Block Group 2; Census Tract 7001.01; Montgomery County; Maryland","663","136","414","114","320","96","94","67","61","51","22","34","0","14","11","23","0","14","7","11","0","14","7","11","0","14","0","14","0","14","0","14","0","14","0","14","28","41","0","14","214","98",
"1500000US240317001013","Block Group 3; Census Tract 7001.01; Montgomery County; Maryland","503","155","368","135","352","132","16","20","8","12","8","14","0","14","0","14","0","14","2","4","0","14","0","14","2","4","0","14","0","14","0","14","0","14","0","14","1","3","0","14","132","71",
"1500000US240317001031","Block Group 1; Census Tract 7001.03; Montgomery County; Maryland","651","173","451","137","439","137","12","18","12","18","0","14","0","14","0","14","0","14","14","15","0","14","6","9","8","12","0","14","0","14","0","14","0","14","0","14","23","25","0","14","163","85",
"1500000US240317001032","Block Group 2; Census Tract 7001.03; Montgomery County; Maryland","423","183","303","195","295","195","8","10","8","10","0","14","0","14","0","14","0","14","5","5","0","14","5","5","0","14","0","14","0","14","0","14","0","14","0","14","7","9","12","14","96","53",
"1500000US240317001033","Block Group 3; Census Tract 7001.03; Montgomery County; Maryland","1316","483","873","349","854","348","19","21","19","21","0","14","0","14","0","14","0","14","71","61","0","14","71","61","0","14","0","14","0","14","0","14","0","14","0","14","37","45","18","22","317","164",
"1500000US240317001034","Block Group 4; Census Tract 7001.03; Montgomery County; Maryland","688","171","474","121","457","118","17","19","6","10","11","17","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","9","15","205","121",
"1500000US240317001041","Block Group 1; Census Tract 7001.04; Montgomery County; Maryland","1434","348","751","248","711","238","40","45","40","45","0","14","0","14","0","14","0","14","158","99","52","76","62","48","44","52","0","14","0","14","0","14","0","14","0","14","0","14","21","35","504","194",
"1500000US240317001042","Block Group 2; Census Tract 7001.04; Montgomery County; Maryland","517","148","347","118","315","116","32","28","19","24","0","14","7","11","6","9","0","14","8","14","0","14","8","14","0","14","0","14","0","14","5","9","0","14","0","14","0","14","50","68","107","58",
"1500000US240317001043","Block Group 3; Census Tract 7001.04; Montgomery County; Maryland","498","162","324","114","315","114","9","15","9","15","0","14","0","14","0","14","0","14","79","45","0","14","65","42","14","23","0","14","0","14","0","14","0","14","0","14","0","14","0","14","95","61",
"1500000US240317001051","Block Group 1; Census Tract 7001.05; Montgomery County; Maryland","862","307","640","285","343","160","297","204","240","228","57","82","0","14","0","14","0","14","92","99","13","21","10","16","0","14","69","94","0","14","12","19","0","14","0","14","0","14","51","75","67","70",
"1500000US240317001052","Block Group 2; Census Tract 7001.05; Montgomery County; Maryland","1238","505","870","328","788","344","82","77","30","33","26","30","0","14","26","42","0","14","86","74","25","33","48","69","13","24","0","14","0","14","0","14","0","14","0","14","0","14","0","14","282","206",
